pollsterName,sponsor,fteGrade,methodology,startDate,endDate,population,partisan,dem,rep,cycle,endMonth
YouGov,Economist,B+,Online,08/07/2022,08/09/2022,RV,,44.3,38.4,2022,8
Morning Consult,,B,Online,08/07/2022,08/09/2022,RV,,45.0,42.0,2022,8
Beacon Research/Shaw & Company Research,FOX News,A,Live Phone,08/06/2022,08/09/2022,RV,,41.0,41.0,2022,8
Morning Consult,,B,Online,08/06/2022,08/08/2022,RV,,46.0,42.0,2022,8
The Bullfinch Group,,Unrated,Online,08/05/2022,08/08/2022,A,,44.0,42.0,2022,8
The Bullfinch Group,,Unrated,Online,08/05/2022,08/08/2022,RV,,45.0,44.0,2022,8
Morning Consult,Politico,B,Online,08/05/2022,08/07/2022,RV,,44.0,43.0,2022,8
Léger,The Canadian Press,B/C,Online,08/05/2022,08/07/2022,A,,35.0,31.0,2022,8
Morning Consult,,B,Online,08/05/2022,08/07/2022,RV,,45.0,42.0,2022,8
Zogby Analytics,,B-,Online,08/04/2022,08/06/2022,LV,,44.8,44.3,2022,8
Morning Consult,,B,Online,08/04/2022,08/06/2022,RV,,46.0,42.0,2022,8
Morning Consult,,B,Online,08/03/2022,08/05/2022,RV,,45.0,42.0,2022,8
TIPP Insights,Issues & Insights,A+,Online,08/02/2022,08/04/2022,RV,,46.0,46.0,2022,8
Morning Consult,,B,Online,08/02/2022,08/04/2022,RV,,45.0,42.0,2022,8
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,07/31/2022,08/04/2022,LV,,43.0,46.0,2022,8
Morning Consult,,B,Online,08/01/2022,08/03/2022,RV,,45.0,43.0,2022,8
Ipsos,Reuters,B-,Online,08/01/2022,08/02/2022,A,,35.0,33.0,2022,8
Data for Progress,Climate Power 2020,B,Online,08/01/2022,08/02/2022,LV,DEM,44.0,48.0,2022,8
Morning Consult,,B,Online,07/31/2022,08/02/2022,RV,,45.0,43.0,2022,8
YouGov,Economist,B+,Online,07/30/2022,08/02/2022,RV,,44.0,38.7,2022,8
InsiderAdvantage,Center for American Greatness,B,,07/31/2022,08/01/2022,LV,,44.0,45.0,2022,8
Morning Consult,,B,Online,07/30/2022,08/01/2022,RV,,45.0,42.0,2022,8
YouGov,Yahoo News,B+,Online,07/28/2022,08/01/2022,A,,39.0,32.0,2022,8
YouGov,Yahoo News,B+,Online,07/28/2022,08/01/2022,RV,,45.0,39.0,2022,8
Monmouth University,,A,Live Phone,07/28/2022,08/01/2022,A,,50.0,43.0,2022,8
Monmouth University,,A,Live Phone,07/28/2022,08/01/2022,RV,,49.0,46.0,2022,8
Ipsos,FiveThirtyEight,B-,Online,07/21/2022,08/01/2022,A,,30.0,30.0,2022,8
Ipsos,FiveThirtyEight,B-,Online,07/21/2022,08/01/2022,LV,,38.0,40.0,2022,8
Morning Consult,Politico,B,Online,07/29/2022,07/31/2022,RV,,45.0,43.0,2022,7
Morning Consult,,B,Online,07/29/2022,07/31/2022,RV,,45.0,42.0,2022,7
Morning Consult,,B,Online,07/28/2022,07/30/2022,RV,,46.0,42.0,2022,7
YouGov,CBS News,B+,Online,07/27/2022,07/29/2022,LV,,43.0,45.0,2022,7
Big Village,,B,Online,07/27/2022,07/29/2022,A,,41.7,37.5,2022,7
Big Village,,B,Online,07/27/2022,07/29/2022,RV,,45.9,42.3,2022,7
Morning Consult,,B,Online,07/27/2022,07/29/2022,RV,,46.0,42.0,2022,7
Harris Poll,Harvard CAPS,B+,Online,07/27/2022,07/28/2022,RV,,50.0,50.0,2022,7
OnMessage,Senate Opportunity Fund,B/C,Online,07/26/2022,07/28/2022,LV,REP,44.0,45.0,2022,7
Morning Consult,,B,Online,07/26/2022,07/28/2022,RV,,46.0,41.0,2022,7
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,07/24/2022,07/28/2022,LV,,41.0,46.0,2022,7
Morning Consult,,B,Online,07/25/2022,07/27/2022,RV,,45.0,42.0,2022,7
Morning Consult,,B,Online,07/24/2022,07/26/2022,RV,,45.0,42.0,2022,7
YouGov,Economist,B+,Online,07/23/2022,07/26/2022,RV,,43.6,38.3,2022,7
Morning Consult,,B,Online,07/23/2022,07/25/2022,RV,,45.0,42.0,2022,7
Suffolk University,USA Today,B+,Live Phone,07/22/2022,07/25/2022,RV,,44.3,40.1,2022,7
Data for Progress,,B,Online,07/13/2022,07/25/2022,LV,,45.0,48.0,2022,7
The Winston Group,Winning the Issues,A/B,Online,07/23/2022,07/24/2022,RV,REP,47.0,41.0,2022,7
Morning Consult,Politico,B,Online,07/22/2022,07/24/2022,RV,,45.0,41.0,2022,7
NewsNation,,Unrated,Online,07/22/2022,07/24/2022,RV,,43.73,42.52,2022,7
Morning Consult,,B,Online,07/22/2022,07/24/2022,RV,,45.0,42.0,2022,7
McLaughlin & Associates,Center for Security Policy,C/D,Online,07/21/2022,07/24/2022,LV,REP,43.0,48.2,2022,7
Morning Consult,,B,Online,07/21/2022,07/23/2022,RV,,44.0,42.0,2022,7
Trafalgar Group,,A-,IVR/Online/Text/Live Phone,07/20/2022,07/22/2022,LV,REP,40.2,48.3,2022,7
Morning Consult,,B,Online,07/20/2022,07/22/2022,RV,,45.0,42.0,2022,7
Morning Consult,,B,Online,07/19/2022,07/21/2022,RV,,45.0,42.0,2022,7
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,07/17/2022,07/21/2022,LV,,39.0,49.0,2022,7
Emerson College,,A-,IVR/Online,07/19/2022,07/20/2022,RV,,43.7,44.7,2022,7
Cygnal,,B+,Online,07/18/2022,07/20/2022,LV,,46.7,47.3,2022,7
Morning Consult,,B,Online,07/18/2022,07/20/2022,RV,,45.0,42.0,2022,7
Lake Research Partners/The Tarrance Group,Georgetown University Institute of Politics and Public Service,A/B,Live Phone,07/16/2022,07/20/2022,RV,,48.0,46.0,2022,7
Morning Consult,,B,Online,07/17/2022,07/19/2022,RV,,45.0,42.0,2022,7
YouGov,Economist,B+,Online,07/16/2022,07/19/2022,RV,,42.6,40.1,2022,7
Morning Consult,,B,Online,07/16/2022,07/18/2022,RV,,45.0,42.0,2022,7
Echelon Insights,,B/C,Online,07/15/2022,07/18/2022,LV,,48.0,44.0,2022,7
Echelon Insights,,B/C,Online,07/15/2022,07/18/2022,RV,,49.0,42.0,2022,7
Quinnipiac University,,A-,Live Phone,07/14/2022,07/18/2022,A,,43.0,44.0,2022,7
Quinnipiac University,,A-,Live Phone,07/14/2022,07/18/2022,RV,,45.0,44.0,2022,7
Morning Consult,Politico,B,Online,07/15/2022,07/17/2022,RV,,45.0,41.0,2022,7
Morning Consult,,B,Online,07/15/2022,07/17/2022,RV,,45.0,42.0,2022,7
Morning Consult,,B,Online,07/14/2022,07/16/2022,RV,,45.0,42.0,2022,7
GQR,Democracy Corps,B,Online,07/08/2022,07/16/2022,RV,DEM,50.0,48.0,2022,7
Big Village,,B,Online,07/13/2022,07/15/2022,A,,39.3,38.0,2022,7
Big Village,,B,Online,07/13/2022,07/15/2022,RV,,44.5,40.7,2022,7
Morning Consult,,B,Online,07/13/2022,07/15/2022,RV,,45.0,42.0,2022,7
Morning Consult,,B,Online,07/12/2022,07/14/2022,RV,,45.0,42.0,2022,7
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,07/10/2022,07/14/2022,LV,,39.0,47.0,2022,7
Morning Consult,,B,Online,07/11/2022,07/13/2022,RV,,45.0,42.0,2022,7
Beacon Research/Shaw & Company Research,FOX News,A,Live Phone,07/10/2022,07/13/2022,RV,,41.0,44.0,2022,7
SSRS,CNN,C,Live Phone/Online,06/13/2022,07/13/2022,RV,,46.0,46.0,2022,7
Morning Consult,,B,Online,07/10/2022,07/12/2022,RV,,45.0,42.0,2022,7
YouGov,Economist,B+,Online,07/09/2022,07/11/2022,RV,,43.0,39.6,2022,7
Morning Consult,,B,Online,07/09/2022,07/11/2022,RV,,45.0,42.0,2022,7
YouGov,Yahoo News,B+,Online,07/08/2022,07/11/2022,A,,37.0,32.0,2022,7
YouGov,Yahoo News,B+,Online,07/08/2022,07/11/2022,RV,,43.0,39.0,2022,7
Morning Consult,Politico,B,Online,07/08/2022,07/10/2022,RV,,46.0,42.0,2022,7
Morning Consult,,B,Online,07/08/2022,07/10/2022,RV,,45.0,42.0,2022,7
Hart Research Associates/Public Opinion Strategies,CNBC,B+,Live Phone,07/07/2022,07/10/2022,RV,,42.0,44.0,2022,7
Axis Research,U.S. Chamber of Commerce,Unrated,,07/05/2022,07/10/2022,LV,REP,46.0,41.0,2022,7
Morning Consult,,B,Online,07/07/2022,07/09/2022,RV,,45.0,42.0,2022,7
Morning Consult,,B,Online,07/06/2022,07/08/2022,RV,,45.0,42.0,2022,7
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,07/05/2022,07/07/2022,LV,,40.0,48.0,2022,7
Siena College/The New York Times Upshot,,A+,Live Phone,07/05/2022,07/07/2022,RV,,41.0,40.0,2022,7
Siena College/The New York Times Upshot,,A+,Live Phone,07/05/2022,07/07/2022,LV,,43.0,44.0,2022,7
OnMessage,Senate Opportunity Fund,B/C,Online,07/05/2022,07/07/2022,LV,REP,42.0,47.0,2022,7
Morning Consult,,B,Online,07/05/2022,07/07/2022,RV,,45.0,42.0,2022,7
Ipsos,Reuters,B-,Online,07/05/2022,07/06/2022,A,,34.0,35.0,2022,7
InsiderAdvantage,Center for American Greatness,B,,07/05/2022,07/06/2022,LV,,42.0,50.0,2022,7
Morning Consult,,B,Online,07/04/2022,07/06/2022,RV,,45.0,42.0,2022,7
PureSpectrum,Northeastern University | Rutgers University | Northwestern University Department of Political Science | Harvard Medical School,Unrated,Online,06/08/2022,07/06/2022,A,,52.0,48.0,2022,7
Morning Consult,,B,Online,07/03/2022,07/05/2022,RV,,45.0,42.0,2022,7
YouGov,Economist,B+,Online,07/02/2022,07/05/2022,RV,,42.5,40.4,2022,7
Data for Progress,,B,Online,07/01/2022,07/05/2022,LV,,45.0,46.0,2022,7
Ipsos,FiveThirtyEight,B-,Online,06/27/2022,07/05/2022,A,,29.0,29.0,2022,7
Ipsos,FiveThirtyEight,B-,Online,06/27/2022,07/05/2022,LV,,39.0,38.0,2022,7
Morning Consult,,B,Online,07/02/2022,07/04/2022,RV,,45.0,42.0,2022,7
Big Village,,B,Online,07/01/2022,07/03/2022,A,,40.5,36.3,2022,7
Big Village,,B,Online,07/01/2022,07/03/2022,RV,,47.4,41.6,2022,7
Morning Consult,,B,Online,07/01/2022,07/03/2022,RV,,46.0,42.0,2022,7
Morning Consult,,B,Online,06/30/2022,07/02/2022,RV,,45.0,41.0,2022,7
Morning Consult,,B,Online,06/29/2022,07/01/2022,RV,,45.0,42.0,2022,7
Center Street PAC,,Unrated,Online,06/30/2022,06/30/2022,RV,DEM,41.0,45.0,2022,6
Center Street PAC,,Unrated,Online,06/30/2022,06/30/2022,LV,DEM,41.0,49.0,2022,6
Harris Poll,Harvard CAPS,B+,Online,06/29/2022,06/30/2022,RV,,50.0,50.0,2022,6
Morning Consult,,B,Online,06/28/2022,06/30/2022,RV,,45.0,42.0,2022,6
Rasmussen Reports/Pulse Opinion Research,Matt Palumbo's The Man Behind the Curtain: Inside the Secret Network of George Soros,B,IVR/Online,06/26/2022,06/30/2022,LV,,42.0,47.0,2022,6
Emerson College,,A-,IVR/Online,06/28/2022,06/29/2022,RV,,43.3,45.7,2022,6
Morning Consult,,B,Online,06/27/2022,06/29/2022,RV,,45.0,42.0,2022,6
Morning Consult,,B,Online,06/26/2022,06/28/2022,RV,,45.0,42.0,2022,6
YouGov,Economist,B+,Online,06/25/2022,06/28/2022,RV,,40.0,45.0,2022,6
Cor Services,Foundation for Government Accountability,Unrated,IVR,06/25/2022,06/27/2022,LV,,42.0,46.0,2022,6
Morning Consult,,B,Online,06/25/2022,06/27/2022,RV,,45.0,42.0,2022,6
YouGov,Yahoo News,B+,Online,06/24/2022,06/27/2022,RV,,45.0,38.0,2022,6
YouGov,Yahoo News,B+,Online,06/24/2022,06/27/2022,A,,39.0,32.0,2022,6
Monmouth University,,A,Live Phone,06/23/2022,06/27/2022,A,,47.0,47.0,2022,6
Monmouth University,,A,Live Phone,06/23/2022,06/27/2022,RV,,46.0,48.0,2022,6
Public Opinion Strategies,Americans for Prosperity,A-,Live Phone,06/22/2022,06/27/2022,RV,REP,42.0,39.0,2022,6
Morning Consult,,B,Online,06/24/2022,06/26/2022,RV,,44.0,42.0,2022,6
Marist College,NPR | PBS NewsHour,A,Live Phone,06/24/2022,06/25/2022,RV,,48.0,41.0,2022,6
Morning Consult,Politico,B,Online,06/24/2022,06/25/2022,RV,,45.0,42.0,2022,6
Morning Consult,,B,Online,06/23/2022,06/25/2022,RV,,44.0,42.0,2022,6
Morning Consult,,B,Online,06/22/2022,06/24/2022,RV,,44.0,43.0,2022,6
Echelon Insights,NetChoice,B/C,Online,06/17/2022,06/24/2022,RV,,45.0,46.0,2022,6
Morning Consult,,B,Online,06/21/2022,06/23/2022,RV,,44.0,43.0,2022,6
Trafalgar Group,,A-,IVR/Online/Text/Live Phone,06/20/2022,06/23/2022,LV,REP,39.8,49.4,2022,6
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,06/19/2022,06/23/2022,LV,,40.0,48.0,2022,6
Morning Consult,,B,Online,06/20/2022,06/22/2022,RV,,44.0,43.0,2022,6
McLaughlin & Associates,,C/D,Online,06/17/2022,06/22/2022,LV,,44.0,48.0,2022,6
NewsNation,,Unrated,Online,06/20/2022,06/21/2022,RV,,42.58,42.76,2022,6
Morning Consult,,B,Online,06/19/2022,06/21/2022,RV,,44.0,43.0,2022,6
YouGov,Economist,B+,Online,06/17/2022,06/21/2022,RV,,41.0,45.0,2022,6
Morning Consult,,B,Online,06/18/2022,06/20/2022,RV,,44.0,42.0,2022,6
Echelon Insights,,B/C,Online,06/17/2022,06/20/2022,LV,,47.0,46.0,2022,6
Echelon Insights,,B/C,Online,06/17/2022,06/20/2022,RV,,47.0,45.0,2022,6
Morning Consult,Politico,B,Online,06/17/2022,06/20/2022,RV,,42.0,42.0,2022,6
OnMessage,Senate Opportunity Fund,B/C,Online,06/17/2022,06/19/2022,LV,REP,43.0,47.0,2022,6
Morning Consult,,B,Online,06/17/2022,06/19/2022,RV,,44.0,42.0,2022,6
Cygnal,,B+,Online,06/16/2022,06/18/2022,LV,,44.7,48.9,2022,6
Morning Consult,,B,Online,06/16/2022,06/18/2022,RV,,44.0,42.0,2022,6
Big Village,,B,Online,06/15/2022,06/17/2022,A,,38.8,36.9,2022,6
Big Village,,B,Online,06/15/2022,06/17/2022,RV,,43.6,42.2,2022,6
Morning Consult,,B,Online,06/15/2022,06/17/2022,RV,,44.0,42.0,2022,6
Morning Consult,,B,Online,06/14/2022,06/16/2022,RV,,44.0,42.0,2022,6
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,06/12/2022,06/16/2022,LV,,41.0,46.0,2022,6
Morning Consult,,B,Online,06/13/2022,06/15/2022,RV,,44.0,42.0,2022,6
Suffolk University,USA Today,B+,Live Phone,06/12/2022,06/15/2022,RV,,40.0,39.5,2022,6
Morning Consult,,B,Online,06/12/2022,06/14/2022,RV,,44.0,42.0,2022,6
YouGov,Economist,B+,Online,06/11/2022,06/14/2022,RV,,42.0,46.0,2022,6
Morning Consult,,B,Online,06/11/2022,06/13/2022,RV,,44.0,42.0,2022,6
Beacon Research/Shaw & Company Research,FOX News,A,Live Phone,06/10/2022,06/13/2022,RV,,44.0,47.0,2022,6
YouGov,Yahoo News,B+,Online,06/10/2022,06/13/2022,A,,38.0,34.0,2022,6
YouGov,Yahoo News,B+,Online,06/10/2022,06/13/2022,RV,,43.0,39.0,2022,6
Morning Consult,Politico,B,Online,06/10/2022,06/12/2022,RV,,44.0,42.0,2022,6
Morning Consult,,B,Online,06/10/2022,06/12/2022,RV,,44.0,42.0,2022,6
GQR,Democracy Corps,B,Online,06/04/2022,06/12/2022,RV,DEM,47.0,49.0,2022,6
Morning Consult,,B,Online,06/09/2022,06/11/2022,RV,,43.0,42.0,2022,6
Morning Consult,,B,Online,06/08/2022,06/10/2022,RV,,43.0,42.0,2022,6
Morning Consult,,B,Online,06/07/2022,06/09/2022,RV,,43.0,42.0,2022,6
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,06/05/2022,06/09/2022,LV,,39.0,48.0,2022,6
Impact Research,Third Way,B/C,Online,06/02/2022,06/09/2022,LV,,47.0,44.0,2022,6
Morning Consult,,B,Online,06/06/2022,06/08/2022,RV,,44.0,42.0,2022,6
Ipsos,Reuters,B-,Online,06/06/2022,06/07/2022,A,,39.0,37.0,2022,6
Morning Consult,,B,Online,06/05/2022,06/07/2022,RV,,44.0,43.0,2022,6
YouGov,Economist,B+,Online,06/04/2022,06/07/2022,RV,,43.0,45.0,2022,6
Global Strategy Group,Third Way,B/C,Online,06/01/2022,06/07/2022,LV,,45.0,47.0,2022,6
Morning Consult,,B,Online,06/04/2022,06/06/2022,RV,,44.0,43.0,2022,6
Quinnipiac University,,A-,Live Phone,06/03/2022,06/06/2022,A,,40.0,44.0,2022,6
Quinnipiac University,,A-,Live Phone,06/03/2022,06/06/2022,RV,,41.0,46.0,2022,6
Ipsos,FiveThirtyEight,B-,Online,05/26/2022,06/06/2022,A,,27.0,29.0,2022,6
Ipsos,FiveThirtyEight,B-,Online,05/26/2022,06/06/2022,LV,,35.0,42.0,2022,6
Morning Consult,Politico,B,Online,06/04/2022,06/05/2022,RV,,42.0,42.0,2022,6
Morning Consult,,B,Online,06/03/2022,06/05/2022,RV,,44.0,43.0,2022,6
Morning Consult,,B,Online,06/02/2022,06/04/2022,RV,,44.0,42.0,2022,6
Big Village,,B,Online,06/01/2022,06/03/2022,A,,37.4,38.0,2022,6
Big Village,,B,Online,06/01/2022,06/03/2022,RV,,43.0,43.8,2022,6
Morning Consult,,B,Online,06/01/2022,06/03/2022,RV,,44.0,43.0,2022,6
Morning Consult,,B,Online,05/31/2022,06/02/2022,RV,,44.0,43.0,2022,6
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,05/29/2022,06/02/2022,LV,,40.0,48.0,2022,6
Morning Consult,,B,Online,05/30/2022,06/01/2022,RV,,44.0,42.0,2022,6
Morning Consult,,B,Online,05/29/2022,05/31/2022,RV,,44.0,42.0,2022,5
YouGov,Economist,B+,Online,05/28/2022,05/31/2022,RV,,43.0,43.0,2022,5
Morning Consult,,B,Online,05/28/2022,05/30/2022,RV,,43.0,42.0,2022,5
Morning Consult,,B,Online,05/27/2022,05/29/2022,RV,,43.0,43.0,2022,5
Morning Consult,,B,Online,05/26/2022,05/28/2022,RV,,43.0,42.0,2022,5
Morning Consult,,B,Online,05/25/2022,05/27/2022,RV,,43.0,42.0,2022,5
The Winston Group,Winning the Issues,A/B,Online,05/25/2022,05/26/2022,RV,REP,44.0,45.0,2022,5
Morning Consult,,B,Online,05/24/2022,05/26/2022,RV,,43.0,42.0,2022,5
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,05/22/2022,05/26/2022,LV,,41.0,47.0,2022,5
Emerson College,,A-,IVR/Online,05/24/2022,05/25/2022,RV,,42.3,45.2,2022,5
Morning Consult,,B,Online,05/23/2022,05/25/2022,RV,,43.0,43.0,2022,5
Morning Consult,,B,Online,05/22/2022,05/24/2022,RV,,44.0,43.0,2022,5
YouGov,Economist,B+,Online,05/21/2022,05/24/2022,RV,,41.0,45.0,2022,5
Morning Consult,,B,Online,05/21/2022,05/23/2022,RV,,44.0,43.0,2022,5
Echelon Insights,,B/C,Online,05/20/2022,05/23/2022,RV,,46.0,43.0,2022,5
Echelon Insights,,B/C,Online,05/20/2022,05/23/2022,LV,,45.0,45.0,2022,5
Morning Consult,Politico,B,Online,05/20/2022,05/22/2022,RV,,45.0,41.0,2022,5
Morning Consult,,B,Online,05/20/2022,05/22/2022,RV,,44.0,42.0,2022,5
YouGov,Yahoo News,B+,Online,05/19/2022,05/22/2022,RV,,42.0,38.0,2022,5
YouGov,Yahoo News,B+,Online,05/19/2022,05/22/2022,A,,38.0,36.0,2022,5
Morning Consult,,B,Online,05/19/2022,05/21/2022,RV,,44.0,42.0,2022,5
Big Village,,B,Online,05/18/2022,05/20/2022,A,,37.3,37.6,2022,5
Big Village,,B,Online,05/18/2022,05/20/2022,RV,,42.9,43.2,2022,5
Morning Consult,,B,Online,05/18/2022,05/20/2022,RV,,44.0,42.0,2022,5
NewsNation,,Unrated,Online,05/18/2022,05/19/2022,RV,,41.15,43.27,2022,5
Harris Poll,Harvard CAPS,B+,Online,05/18/2022,05/19/2022,RV,,49.0,51.0,2022,5
Morning Consult,,B,Online,05/17/2022,05/19/2022,RV,,44.0,42.0,2022,5
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,05/15/2022,05/19/2022,LV,,39.0,48.0,2022,5
Morning Consult,,B,Online,05/16/2022,05/18/2022,RV,,44.0,42.0,2022,5
YouGov,Economist,B+,Online,05/15/2022,05/17/2022,RV,,43.0,40.0,2022,5
Morning Consult,,B,Online,05/15/2022,05/17/2022,RV,,44.0,42.0,2022,5
Morning Consult,,B,Online,05/14/2022,05/16/2022,RV,,44.0,42.0,2022,5
Morning Consult,Politico,B,Online,05/13/2022,05/16/2022,RV,,44.0,42.0,2022,5
The Bullfinch Group,,Unrated,Online,05/12/2022,05/16/2022,A,,42.0,41.0,2022,5
The Bullfinch Group,,Unrated,Online,05/12/2022,05/16/2022,RV,,44.0,42.0,2022,5
Quinnipiac University,,A-,Live Phone,05/12/2022,05/16/2022,A,,42.0,47.0,2022,5
Quinnipiac University,,A-,Live Phone,05/12/2022,05/16/2022,RV,,43.0,47.0,2022,5
Cygnal,,B+,Online,05/13/2022,05/15/2022,LV,,45.1,47.8,2022,5
Morning Consult,,B,Online,05/13/2022,05/15/2022,RV,,44.0,42.0,2022,5
Morning Consult,,B,Online,05/12/2022,05/14/2022,RV,,43.0,42.0,2022,5
McLaughlin & Associates,American Majority Project,C/D,Online,05/09/2022,05/14/2022,LV,REP,42.0,47.0,2022,5
Morning Consult,,B,Online,05/11/2022,05/13/2022,RV,,43.0,42.0,2022,5
Marist College,NPR | PBS NewsHour,A,Live Phone,05/09/2022,05/13/2022,RV,,47.0,42.0,2022,5
Morning Consult,,B,Online,05/10/2022,05/12/2022,RV,,43.0,42.0,2022,5
Morning Consult,,B,Online,05/09/2022,05/11/2022,RV,,44.0,42.0,2022,5
YouGov,Economist,B+,Online,05/08/2022,05/10/2022,RV,,51.0,49.0,2022,5
Morning Consult,,B,Online,05/08/2022,05/10/2022,RV,,44.0,42.0,2022,5
Hart Research Associates/Public Opinion Strategies,NBC News,B+,Live Phone,05/05/2022,05/10/2022,RV,,46.0,46.0,2022,5
Morning Consult,,B,Online,05/07/2022,05/09/2022,RV,,43.0,42.0,2022,5
Morning Consult,Politico,B,Online,05/06/2022,05/09/2022,RV,,44.0,42.0,2022,5
Monmouth University,,A,Live Phone,05/05/2022,05/09/2022,A,,44.0,48.0,2022,5
Monmouth University,,A,Live Phone,05/05/2022,05/09/2022,RV,,43.0,50.0,2022,5
YouGov,UMass Amherst | WCVB-TV,B+,Online,05/05/2022,05/09/2022,A,,44.0,38.0,2022,5
Morning Consult,,B,Online,05/06/2022,05/08/2022,RV,,43.0,42.0,2022,5
Morning Consult,,B,Online,05/05/2022,05/07/2022,RV,,43.0,42.0,2022,5
OnMessage,Senate Opportunity Fund,B/C,Online,05/04/2022,05/06/2022,LV,REP,44.0,45.0,2022,5
Big Village,,B,Online,05/04/2022,05/06/2022,A,,39.2,36.8,2022,5
Big Village,,B,Online,05/04/2022,05/06/2022,RV,,45.3,42.0,2022,5
TIPP Insights,James Golden,A+,Online,05/04/2022,05/06/2022,RV,REP,42.0,43.0,2022,5
Morning Consult,,B,Online,05/04/2022,05/06/2022,RV,,44.0,41.0,2022,5
YouGov,Yahoo News,B+,Online,05/03/2022,05/06/2022,RV,,43.0,39.0,2022,5
YouGov,Yahoo News,B+,Online,05/03/2022,05/06/2022,A,,37.0,33.0,2022,5
SSRS,CNN,C,Live Phone/Online,05/03/2022,05/05/2022,RV,,42.0,49.0,2022,5
Morning Consult,,B,Online,05/03/2022,05/05/2022,RV,,43.0,42.0,2022,5
Ipsos,FiveThirtyEight,B-,Online,04/27/2022,05/05/2022,A,,27.0,29.0,2022,5
Ipsos,FiveThirtyEight,B-,Online,04/27/2022,05/05/2022,LV,,38.0,40.0,2022,5
Morning Consult,,B,Online,05/02/2022,05/04/2022,RV,,43.0,42.0,2022,5
Morning Consult,Politico,B,Online,05/03/2022,05/03/2022,RV,,43.0,43.0,2022,5
Morning Consult,,B,Online,05/01/2022,05/03/2022,RV,,43.0,42.0,2022,5
YouGov,Economist,B+,Online,04/30/2022,05/03/2022,RV,,53.0,47.0,2022,5
Morning Consult,,B,Online,04/30/2022,05/02/2022,RV,,43.0,42.0,2022,5
Morning Consult,Politico,B,Online,04/29/2022,05/02/2022,RV,,43.0,43.0,2022,5
Morning Consult,,B,Online,04/29/2022,05/01/2022,RV,,42.0,42.0,2022,5
Beacon Research/Shaw & Company Research,FOX News,A,Live Phone,04/28/2022,05/01/2022,RV,,39.0,46.0,2022,5
SSRS,CNN,C,Live Phone/Online,04/28/2022,05/01/2022,RV,,44.0,45.0,2022,5
Morning Consult,,B,Online,04/28/2022,04/30/2022,RV,,42.0,42.0,2022,4
Morning Consult,,B,Online,04/27/2022,04/29/2022,RV,,42.0,42.0,2022,4
The Winston Group,Winning the Issues,A/B,Online,04/26/2022,04/28/2022,RV,REP,44.0,45.0,2022,4
Morning Consult,,B,Online,04/26/2022,04/28/2022,RV,,43.0,42.0,2022,4
ABC News/The Washington Post,,A+,Live Phone,04/24/2022,04/28/2022,RV,,46.0,45.0,2022,4
YouGov,Economist,B+,Online,04/26/2022,04/27/2022,RV,,42.1,39.3,2022,4
Morning Consult,,B,Online,04/25/2022,04/27/2022,RV,,43.0,42.0,2022,4
Susquehanna Polling & Research,The Federalist,B+,Live Phone,04/19/2022,04/27/2022,LV,,39.0,49.0,2022,4
Emerson College,,A-,IVR/Online,04/25/2022,04/26/2022,RV,,40.6,46.8,2022,4
Morning Consult,,B,Online,04/24/2022,04/26/2022,RV,,43.0,42.0,2022,4
McLaughlin & Associates,,C/D,Online,04/22/2022,04/26/2022,LV,,43.0,48.0,2022,4
Marist College,NPR | PBS NewsHour,A,Live Phone,04/19/2022,04/26/2022,RV,,44.0,47.0,2022,4
Morning Consult,,B,Online,04/23/2022,04/25/2022,RV,,42.0,42.0,2022,4
Morning Consult,Politico,B,Online,04/22/2022,04/25/2022,RV,,43.0,42.0,2022,4
Quinnipiac University,,A-,Live Phone,04/21/2022,04/25/2022,A,,40.0,44.0,2022,4
Quinnipiac University,,A-,Live Phone,04/21/2022,04/25/2022,RV,,42.0,45.0,2022,4
Morning Consult,,B,Online,04/22/2022,04/24/2022,RV,,42.0,42.0,2022,4
InsiderAdvantage,Center for American Greatness,B,,04/21/2022,04/23/2022,LV,,39.0,51.0,2022,4
Morning Consult,,B,Online,04/21/2022,04/23/2022,RV,,42.0,42.0,2022,4
Morning Consult,,B,Online,04/20/2022,04/23/2022,A,,42.0,36.0,2022,4
Big Village,,B,Online,04/20/2022,04/22/2022,A,,37.0,37.1,2022,4
Big Village,,B,Online,04/20/2022,04/22/2022,RV,,44.2,42.2,2022,4
